node_1,node_2,edge
shelby,fbi handlers,struggles against the signal's effect and fights off
bricke,fbi agents preparing to shoot,"consumes neurotoxin instead of killing him, kills FBI agents and escapes with money"
sawyer,shelby,strangles but is impaled on a glass shard and dies
the last days of american crime,rick remender (comic book),is based on the comic book by Rick Remender
édgar ramírez,graham bricke,Édgar Ramírez stars as Graham Bricke in the film adaptation
olivier megaton,the last days of american crime (film),is directed by Olivier Megaton
karl gajdusek,the last days of american crime (film),has a screenplay written by Karl Gajdusek
jesse berger,radical studios,produces The Last Days of American Crime through Radical Studios
jason michael berman,mandalay pictures,produces The Last Days of American Crime through Mandalay Pictures
barry levine,kevin turen,"[{'source': 'Barry Levine', 'target': 'The Last Days of American Crime (film)'}, {'source': 'Kevin Turen', 'target': 'The Last Days of American Crime (film)'}]"
anna brewster,the last days of american crime (film),joins the cast of The Last Days of American Crime
michael pitt,the last days of american crime (film),joins the cast of The Last Days of American Crime
sharlto copley,the last days of american crime (film),joins the cast of The Last Days of American Crime
netflix,the last days of american crime,releases The Last Days of American Crime digitally on its platform
rotten tomatoes,the last days of american crime (film),has an approval rating of 0% based on critic reviews
metacritic,the last days of american crime (film),"assigns the film a weighted average score of 15 out of 100, based on critic reviews"
the last days of american crime,derivative work with nothing to say,critics panned the film as
the last days of american crime,a disaster,the timing of its release with the murder of George Floyd and the related protests was
david ehrlich,the last days of american crime,gave the film a 'D−'
olivier megaton's,the last days of american crime,Netflix feature is 149 minutes long
peter debruge,the last days of american crime,seems woefully out of touch
copley's,the last days of american crime,a brutal fight scene in which Copley chokes Shelby seems oblivious to the legacy of real-world police brutality
bilge ebiri,the last days of american crime,demonstrates how rote such ghastly fare has become in our culture
jesse hassenger,the last days of american crime,finally gets down to the
the last days of american crime,propulsive entertainment value,"Jesse Hassenger's review of the film highlights that although the final hour reveals this entertaining aspect, the entire movie is thin in nature."
the last days of american crime,thinness of the whole enterprise,"Jesse Hassenger's review of the film points out that despite revealing an entertaining aspect towards the end, the entire movie is thin in nature."
c-,the last days of american crime,"Jesse Hassenger of The A.V. Club gave this grade to the film, indicating its mediocre quality."
jesse hassenger,the last days of american crime,He wrote a review for The A.V. Club regarding this film.
c-,jesse hassenger,This was the grade given by Jesse Hassenger to something else (not necessarily the same thing as The Last Days Of American Crime).
